Player,Season,G,A1,A2,A,P,P1,G60,A160,A260,A60,P60,P160,iCF,iCF60,iCSh%,iFF,iFF60,iFSh%,iSF,iSF60,iSh%,ixG,ixG60,ixFSh%,iSCF,iSCF60,iHF,iHA,iGVA,iTKA,iBLK,iFOW,iFOL,iFO%,iPENT,iPEND,iPENDIFF,iRB,iRS,Avg.DIST
AARON.EKBLAD,20142015,6,8,8,16,22,14,0.26,0.35,0.35,0.69,0.95,0.61,230,9.95,2.61,153,6.62,3.92,115,4.97,5.22,4.81,0.21,3.14,6,0.26,98,123,36,19,67,0,0,0,10,9,-1,4,8,46.03
AARON.EKBLAD,20152016,9,6,8,14,23,15,0.42,0.28,0.37,0.65,1.07,0.7,208,9.64,4.33,160,7.42,5.62,120,5.56,7.5,5.47,0.25,3.42,9,0.42,78,114,36,18,50,0,0,0,14,4,-10,6,9,44.17
AARON.GAGNON,20112012,0,0,0,0,0,0,0,0,0,0,0,0,12,11.24,0,9,8.43,0,6,5.62,0,0.72,0.67,8,3,2.81,1,7,0,1,4,18,21,46.15,0,0,0,0,2,26.46
AARON.GAGNON,20122013,5.125,0,0,0,5.125,5.125,2.48,0,0,0,2.48,2.48,29.04166667,14.06,17.65,23.91666667,11.58,21.43,18.79166667,9.1,27.27,2.323333333,1.12,9.71,10.25,4.96,11.95833333,11.95833333,1.708333333,6.833333333,5.125,46.125,41,0,1.708333333,1.708333333,0,1.708333333,3.416666667,20.81
AARON.JOHNSON,20112012,2,5,7,12,14,7,0.16,0.4,0.56,0.95,1.11,0.56,93,7.4,2.15,71,5.65,2.82,49,3.9,4.08,2.41,0.19,3.4,3,0.24,84,87,17,16,57,0,0,0,5,7,2,3,2,45.27
AARON.JOHNSON,20122013,0,0,0,0,0,0,0,0,0,0,0,0,37.58333333,10.06,0,18.79166667,5.03,0,13.66666667,3.66,0,0.427083333,0.12,2.31,0,0,30.75,35.875,11.95833333,0,6.833333333,0,0,0,6.833333333,1.708333333,-5.125,0,0,49.46
AARON.NESS,20112012,0,0,0,0,0,0,0,0,0,0,0,0,16,6.81,0,11,4.68,0,5,2.13,0,0.33,0.14,3.01,0,0,2,14,1,2,17,0,0,0,1,0,-1,0,1,45.5
AARON.NESS,20132014,1,0,2,2,3,1,0.23,0,0.46,0.46,0.69,0.23,46,10.58,2.17,30,6.9,3.33,22,5.06,4.55,0.82,0.19,2.75,1,0.23,13,29,7,2,23,0,0,0,4,1,-3,0,0,43.45
AARON.NESS,20152016,0,0,2,2,2,0,0,0,1.25,1.25,1.25,0,18,11.21,0,13,8.1,0,8,4.98,0,0.36,0.23,2.79,0,0,4,9,2,0,7,0,0,0,0,0,0,0,1,48.09
AARON.PALUSHAJ,20112012,1,1,3,4,5,2,0.21,0.21,0.64,0.86,1.07,0.43,69,14.76,1.45,50,10.7,2,37,7.91,2.7,2.22,0.47,4.44,5,1.07,28,50,5,9,11,0,4,0,6,7,1,1,2,29.58
AARON.PALUSHAJ,20122013,3.416666667,5.125,6.833333333,11.95833333,15.375,8.541666667,0.47,0.7,0.93,1.64,2.1,1.17,78.58333333,10.75,4.35,59.79166667,8.18,5.71,46.125,6.31,7.41,3.3825,0.46,5.65,13.66666667,1.87,54.66666667,54.66666667,8.541666667,13.66666667,20.5,3.416666667,8.541666667,28.57,3.416666667,13.66666667,10.25,0,0,27.75
AARON.ROME,20112012,3,1,3,4,7,4,0.32,0.11,0.32,0.42,0.74,0.42,91,9.66,3.3,57,6.05,5.26,32,3.4,9.38,1.33,0.14,2.33,1,0.11,61,78,12,4,54,0,0,0,11,3,-8,0,5,52.09
AARON.ROME,20122013,0,5.125,1.708333333,6.833333333,6.833333333,5.125,0,0.5,0.17,0.67,0.67,0.5,61.5,6.06,0,29.04166667,2.86,0,20.5,2.02,0,0.7175,0.07,2.46,1.708333333,0.17,71.75,73.45833333,11.95833333,3.416666667,44.41666667,0,0,0,11.95833333,6.833333333,-5.125,0,0,49.93
AARON.ROME,20132014,0,1,0,1,1,1,0,0.21,0,0.21,0.21,0.21,35,7.18,0,21,4.31,0,14,2.87,0,0.53,0.11,2.51,1,0.21,19,40,12,2,33,0,0,0,3,1,-2,1,0,51.29
AARON.VOLPATTI,20112012,1,0,0,0,1,1,0.3,0,0,0,0.3,0.3,35,10.58,2.86,23,6.95,4.35,17,5.14,5.88,1.34,0.41,5.84,3,0.91,61,38,3,1,8,4,0,100,7,4,-3,2,1,33.69
AARON.VOLPATTI,20122013,1.708333333,1.708333333,0,1.708333333,3.416666667,3.416666667,0.22,0.22,0,0.22,0.45,0.45,70.04166667,9.21,2.44,52.95833333,6.96,3.23,34.16666667,4.49,5,3.502083333,0.46,6.6,17.08333333,2.25,136.6666667,99.08333333,8.541666667,6.833333333,17.08333333,1.708333333,5.125,25,11.95833333,6.833333333,-5.125,1.708333333,3.416666667,31.09
AARON.VOLPATTI,20132014,2,0,0,0,2,2,0.4,0,0,0,0.4,0.4,39,7.86,5.13,27,5.44,7.41,18,3.63,11.11,2,0.4,7.42,6,1.21,77,55,1,6,10,4,8,33.33,8,3,-5,4,0,25.81
ADAM.BURISH,20112012,6,6,5,11,17,12,0.53,0.53,0.44,0.97,1.5,1.06,126,11.1,4.76,103,9.07,5.83,75,6.61,8,6.74,0.59,6.55,27,2.38,68,79,10,12,15,157,119,56.88,9,11,2,3,2,28.89
ADAM.BURISH,20122013,0,1.708333333,1.708333333,3.416666667,3.416666667,1.708333333,0,0.15,0.15,0.29,0.29,0.15,119.5833333,10.22,0,93.95833333,8.03,0,63.20833333,5.4,0,5.449583333,0.47,5.8,13.66666667,1.17,109.3333333,78.58333333,15.375,5.125,39.29166667,158.875,157.1666667,50.27,13.66666667,17.08333333,3.416666667,0,8.541666667,31.9
ADAM.BURISH,20132014,0,0,0,0,0,0,0,0,0,0,0,0,18,8.79,0,16,7.81,0,9,4.39,0,1.01,0.49,6.31,4,1.95,23,17,1,2,8,32,34,48.48,3,0,-3,0,2,30.86
ADAM.BURISH,20142015,1,2,0,2,3,3,0.33,0.65,0,0.65,0.98,0.98,34,11.06,2.94,27,8.78,3.7,20,6.5,5,1.14,0.37,4.21,2,0.65,11,25,2,4,12,43,39,52.44,0,4,0,0,1,31.27
ADAM.CLENDENING,20142015,0,0,1,1,1,0,0,0,0.21,0.21,0.21,0,37,7.72,0,23,4.8,0,14,2.92,0,0.6,0.13,2.61,0,0,9,35,13,2,21,0,0,0,4,0,-4,0,0,46.39
ADAM.CLENDENING,20152016,1,1,5,6,7,2,0.15,0.15,0.77,0.92,1.07,0.31,75,11.52,1.33,56,8.6,1.79,41,6.3,2.44,1.48,0.23,2.64,2,0.31,19,54,17,5,30,0,0,0,10,4,-6,1,3,50.47
ADAM.CRACKNELL,20122013,3.416666667,3.416666667,3.416666667,6.833333333,10.25,6.833333333,0.71,0.71,0.71,1.42,2.13,1.42,66.625,13.87,5.13,49.54166667,10.32,6.9,35.875,7.47,9.52,2.852916667,0.59,5.76,6.833333333,1.42,37.58333333,49.54166667,1.708333333,10.25,11.95833333,10.25,32.45833333,24,3.416666667,3.416666667,0,1.708333333,3.416666667,24.01
ADAM.CRACKNELL,20132014,0,1,1,2,2,1,0,0.4,0.4,0.81,0.81,0.4,28,11.31,0,23,9.29,0,16,6.46,0,1.23,0.5,5.36,7,2.83,33,26,0,3,8,10,17,37.04,0,2,2,0,1,30.47
ADAM.CRACKNELL,20142015,0,1,0,1,1,1,0,0.38,0,0.38,0.38,0.38,26,9.96,0,23,8.81,0,15,5.75,0,1.07,0.41,4.64,3,1.15,42,21,3,4,6,19,36,34.55,1,0,-1,0,0,28.04
ADAM.CRACKNELL,20152016,5,4,1,5,10,9,0.53,0.42,0.11,0.53,1.05,0.95,116,12.2,4.31,90,9.47,5.56,66,6.94,7.58,6.15,0.65,6.83,23,2.42,122,60,12,23,23,145,212,40.62,8,6,-2,5,4,27.42
ADAM.HALL,20112012,2,4,1,5,7,6,0.24,0.49,0.12,0.61,0.85,0.73,81,9.88,2.47,74,9.03,2.7,57,6.96,3.51,5.08,0.62,6.86,19,2.32,87,39,4,8,15,180,110,62.07,5,6,1,3,2,24.3
ADAM.HALL,20122013,0,3.416666667,1.708333333,5.125,5.125,3.416666667,0,0.4,0.2,0.6,0.6,0.4,80.29166667,9.39,0,71.75,8.39,0,51.25,6,0,4.134166667,0.48,5.77,10.25,1.2,99.08333333,47.83333333,10.25,17.08333333,27.33333333,160.5833333,119.5833333,57.32,1.708333333,8.541666667,6.833333333,3.416666667,11.95833333,30.97
ADAM.HALL,20132014,2,2,2,4,6,4,0.23,0.23,0.23,0.46,0.69,0.46,83,9.57,2.41,64,7.38,3.12,48,5.54,4.17,3.87,0.45,6.04,11,1.27,72,58,5,11,24,193,117,62.26,9,3,-6,3,4,29.7
ADAM.HENRIQUE,20112012,10,11,11,22,32,21,0.59,0.64,0.64,1.29,1.87,1.23,133,7.79,7.52,115,6.73,8.7,94,5.5,10.64,10.01,0.59,8.7,39,2.28,78,50,20,36,39,391,415,48.51,1,8,7,5,5,20.78
ADAM.HENRIQUE,20122013,8.541666667,5.125,0,5.125,13.66666667,13.66666667,0.57,0.34,0,0.34,0.91,0.91,155.4583333,10.35,5.49,128.125,8.53,6.67,88.83333333,5.92,9.62,10.98458333,0.73,8.58,46.125,3.07,42.70833333,52.95833333,8.541666667,27.33333333,17.08333333,416.8333333,404.875,50.73,8.541666667,8.541666667,0,10.25,11.95833333,25.18
ADAM.HENRIQUE,20132014,15,4,4,8,23,19,0.92,0.25,0.25,0.49,1.42,1.17,156,9.61,9.62,124,7.64,12.1,92,5.67,16.3,11.23,0.69,9.05,46,2.83,65,62,21,36,35,275,352,43.86,6,13,7,6,6,20.48
ADAM.HENRIQUE,20142015,10,7,6,13,23,17,0.62,0.43,0.37,0.8,1.42,1.05,178,10.97,5.62,128,7.89,7.81,103,6.35,9.71,10.5,0.65,8.2,46,2.84,54,70,14,27,34,183,159,53.51,10,5,-5,0,7,21.84
ADAM.HENRIQUE,20152016,18,1,10,11,29,19,1.02,0.06,0.57,0.63,1.65,1.08,160,9.11,11.25,127,7.23,14.17,101,5.75,17.82,11.11,0.63,8.75,41,2.33,53,67,18,27,37,421,530,44.27,8,7,-1,9,6,23.36
ADAM.LARSSON,20112012,2,5,3,8,10,7,0.11,0.27,0.16,0.43,0.53,0.37,118,6.29,1.69,75,4,2.67,56,2.98,3.57,1.78,0.09,2.37,1,0.05,86,102,35,11,61,0,0,0,9,4,-5,1,1,47.48
ADAM.LARSSON,20122013,0,5.125,5.125,10.25,10.25,5.125,0,0.31,0.31,0.62,0.62,0.31,107.625,6.53,0,63.20833333,3.83,0,46.125,2.8,0,1.315416667,0.08,2.09,0,0,59.79166667,104.2083333,32.45833333,29.04166667,63.20833333,0,0,0,10.25,8.541666667,-1.708333333,0,1.708333333,51.67
ADAM.LARSSON,20132014,1,2,0,2,3,3,0.15,0.3,0,0.3,0.45,0.45,50,7.57,2,30,4.54,3.33,19,2.88,5.26,0.51,0.08,1.7,0,0,39,35,10,4,29,0,0,0,5,2,-3,0,0,52.23
ADAM.LARSSON,20142015,3,8,9,17,20,11,0.17,0.46,0.52,0.98,1.15,0.63,161,9.26,1.86,110,6.32,2.73,82,4.71,3.66,3.31,0.19,3.01,5,0.29,78,92,26,15,83,0,0,0,13,5,-8,2,2,43.99
ADAM.LARSSON,20152016,1,5,7,12,13,6,0.04,0.21,0.29,0.5,0.54,0.25,143,5.98,0.7,93,3.89,1.08,58,2.43,1.72,2.82,0.12,3.03,5,0.21,146,153,20,19,104,0,0,0,19,3,-16,5,6,47.55
ADAM.LOWRY,20142015,10,7,1,8,18,17,0.62,0.43,0.06,0.49,1.11,1.05,165,10.21,6.06,129,7.98,7.75,95,5.88,10.53,11.45,0.71,8.88,46,2.85,251,120,13,22,28,364,411,46.97,13,11,-2,12,14,25.94
ADAM.LOWRY,20152016,7,5,4,9,16,12,0.5,0.36,0.29,0.65,1.15,0.86,114,8.18,6.14,87,6.24,8.05,67,4.81,10.45,8.25,0.59,9.48,32,2.3,175,60,15,24,35,310,352,46.83,13,9,-4,9,11,27.64
ADAM.MCQUAID,20112012,2,2,6,8,10,4,0.12,0.12,0.37,0.5,0.62,0.25,154,9.61,1.3,89,5.55,2.25,63,3.93,3.17,1.59,0.1,1.79,1,0.06,99,105,17,7,88,0,0,0,13,6,-7,2,1,54.24
ADAM.MCQUAID,20122013,1.708333333,1.708333333,1.708333333,3.416666667,5.125,3.416666667,0.14,0.14,0.14,0.28,0.42,0.28,105.9166667,8.75,1.61,61.5,5.08,2.78,42.70833333,3.53,4,1.89625,0.16,3.08,0,0,104.2083333,92.25,11.95833333,5.125,68.33333333,0,0,0,23.91666667,8.541666667,-15.375,1.708333333,1.708333333,45.06
ADAM.MCQUAID,20132014,1,2,3,5,6,3,0.15,0.29,0.44,0.74,0.88,0.44,56,8.24,1.79,31,4.56,3.23,25,3.68,4,0.55,0.08,1.76,0,0,53,37,9,1,34,0,0,0,11,5,-6,0,4,55.25
ADAM.MCQUAID,20142015,1,2,3,5,6,3,0.06,0.12,0.18,0.3,0.36,0.18,129,7.8,0.78,80,4.84,1.25,57,3.45,1.75,1.69,0.1,2.12,1,0.06,131,130,20,5,74,0,1,0,22,8,-14,0,5,51.64
ADAM.MCQUAID,20152016,1,3,3,6,7,4,0.06,0.19,0.19,0.38,0.44,0.25,104,6.56,0.96,59,3.72,1.69,42,2.65,2.38,1.2,0.08,2.03,0,0,127,88,27,7,89,0,0,0,24,9,-15,1,6,52.71
ADAM.PARDY,20112012,0,0,2,2,2,0,0,0,0.22,0.22,0.22,0,54,6.02,0,36,4.02,0,28,3.12,0,0.85,0.1,2.37,0,0,39,70,9,8,43,0,0,0,5,5,0,0,1,52.17
ADAM.PARDY,20122013,0,1.708333333,5.125,6.833333333,6.833333333,1.708333333,0,0.24,0.73,0.97,0.97,0.24,27.33333333,3.89,0,17.08333333,2.43,0,10.25,1.46,0,0.375833333,0.05,2.18,0,0,37.58333333,51.25,22.20833333,5.125,25.625,0,0,0,10.25,5.125,-5.125,0,0,52.12
ADAM.PARDY,20132014,0,2,4,6,6,2,0,0.15,0.31,0.46,0.46,0.15,98,7.5,0,66,5.05,0,46,3.52,0,2.27,0.17,3.44,4,0.31,74,116,28,14,46,0,0,0,16,4,-12,1,7,44.09
ADAM.PARDY,20142015,0,4,4,8,8,4,0,0.36,0.36,0.72,0.72,0.36,76,6.87,0,39,3.53,0,28,2.53,0,1.33,0.12,3.4,3,0.27,66,99,26,7,37,0,0,0,7,7,0,0,3,43.83
ADAM.PARDY,20152016,0,3,0,3,3,3,0,0.6,0,0.6,0.6,0.6,42,8.34,0,31,6.16,0,21,4.17,0,1.35,0.27,4.34,4,0.79,26,37,12,4,23,0,0,0,4,4,0,2,3,42.46
ADAM.PELECH,20152016,0,0,0,0,0,0,0,0,0,0,0,0,15,7.17,0,7,3.35,0,5,2.39,0,0.12,0.06,1.67,0,0,15,23,7,0,11,0,0,0,0,0,0,0,0,52.99
ADRIAN.AUCOIN,20112012,1,0,7,7,8,1,0.06,0,0.4,0.4,0.46,0.06,176,10.04,0.57,122,6.96,0.82,79,4.51,1.27,2.7,0.15,2.21,2,0.11,83,25,17,20,56,0,0,0,17,4,-13,3,6,53.29
ADRIAN.AUCOIN,20122013,0,3.416666667,3.416666667,6.833333333,6.833333333,3.416666667,0,0.24,0.24,0.47,0.47,0.24,104.2083333,7.24,0,59.79166667,4.15,0,41,2.85,0,1.059166667,0.07,1.76,0,0,59.79166667,15.375,8.541666667,5.125,18.79166667,0,0,0,11.95833333,3.416666667,-8.541666667,1.708333333,3.416666667,54.12
ALEC.MARTINEZ,20112012,3,2,0,2,5,5,0.29,0.19,0,0.19,0.48,0.48,116,11.2,2.59,71,6.85,4.23,54,5.21,5.56,3.06,0.3,4.31,7,0.68,47,75,8,0,43,0,0,0,2,4,2,4,4,42.33
ALEC.MARTINEZ,20122013,0,0,5.125,5.125,5.125,0,0,0,0.5,0.5,0.5,0,93.95833333,9.23,0,64.91666667,6.37,0,41,4.03,0,1.38375,0.14,2.14,1.708333333,0.17,51.25,92.25,18.79166667,3.416666667,46.125,0,0,0,5.125,1.708333333,-3.416666667,1.708333333,1.708333333,50.65
ALEC.MARTINEZ,20132014,8,2,4,6,14,10,0.62,0.16,0.31,0.47,1.09,0.78,147,11.42,5.44,93,7.23,8.6,48,3.73,16.67,3.88,0.3,4.17,11,0.85,83,109,24,3,66,0,0,0,5,5,0,7,6,45.78
ALEC.MARTINEZ,20142015,5,5,6,11,16,10,0.35,0.35,0.42,0.78,1.13,0.71,169,11.94,2.96,111,7.85,4.5,79,5.58,6.33,3.23,0.23,2.91,6,0.42,74,97,30,9,90,0,0,0,4,6,2,4,7,47.36
ALEC.MARTINEZ,20152016,5,5,3,8,13,10,0.25,0.25,0.15,0.39,0.64,0.49,200,9.82,2.5,122,5.99,4.1,70,3.44,7.14,3.54,0.17,2.9,4,0.2,138,126,43,4,138,0,0,0,14,6,-8,5,4,49.54
ALEKSANDER.BARKOV,20132014,4,10,3,13,17,14,0.34,0.84,0.25,1.09,1.43,1.18,101,8.51,3.96,78,6.57,5.13,66,5.56,6.06,6.16,0.52,7.89,21,1.77,14,59,12,25,26,300,331,47.54,4,5,1,6,4,27.72
ALEKSANDER.BARKOV,20142015,13,7,8,15,28,20,0.81,0.44,0.5,0.94,1.75,1.25,153,9.57,8.5,125,7.82,10.4,96,6,13.54,8.4,0.53,6.72,29,1.81,28,107,21,37,32,382,431,46.99,3,5,2,6,11,25.65
ALEKSANDER.BARKOV,20152016,17,11,7,18,35,28,1.15,0.74,0.47,1.22,2.36,1.89,182,12.29,9.34,154,10.4,11.04,122,8.24,13.93,12.27,0.83,7.97,53,3.58,37,71,20,34,27,404,439,47.92,2,14,12,7,9,24.07
ALES.HEMSKY,20112012,9,10,5,15,24,19,0.55,0.61,0.3,0.91,1.46,1.15,213,12.93,4.23,155,9.41,5.81,118,7.16,7.63,12.47,0.76,8.05,43,2.61,21,102,48,35,18,1,4,20,13,7,-6,4,10,26.21
ALES.HEMSKY,20122013,6.833333333,6.833333333,5.125,11.95833333,18.79166667,13.66666667,0.53,0.53,0.39,0.92,1.45,1.05,164,12.62,4.17,121.2916667,9.33,5.63,102.5,7.89,6.67,8.405,0.65,6.94,27.33333333,2.1,17.08333333,78.58333333,25.625,27.33333333,15.375,15.375,15.375,50,13.66666667,3.416666667,-10.25,5.125,5.125,25.89
ALES.HEMSKY,20132014,11,9,7,16,27,20,0.7,0.57,0.44,1.02,1.71,1.27,199,12.63,5.53,150,9.52,7.33,121,7.68,9.09,11.31,0.72,7.54,39,2.48,35,95,27,39,29,1,2,33.33,11,10,-1,7,9,28.59
ALES.HEMSKY,20142015,8,4,10,14,22,12,0.57,0.29,0.72,1,1.58,0.86,214,15.36,3.74,151,10.84,5.3,120,8.61,6.67,8.8,0.63,5.83,25,1.79,20,85,31,24,31,0,0,0,5,12,7,4,7,30.07
ALES.HEMSKY,20152016,11,11,7,18,29,22,0.82,0.82,0.52,1.34,2.15,1.63,220,16.35,5,161,11.96,6.83,129,9.58,8.53,10.5,0.78,6.52,38,2.82,24,85,24,22,24,0,1,0,10,9,-1,7,11,27.79
ALEX.BIEGA,20142015,1,0,0,0,1,1,0.6,0,0,0,0.6,0.6,17,10.25,5.88,12,7.23,8.33,6,3.62,16.67,0.36,0.22,3.03,0,0,29,7,3,1,8,0,0,0,0,0,0,0,1,44.85
ALEX.BIEGA,20152016,0,3,4,7,7,3,0,0.24,0.32,0.56,0.56,0.24,114,9.08,0,75,5.97,0,61,4.86,0,2.02,0.16,2.7,4,0.32,115,91,18,8,36,0,0,0,8,3,-5,4,2,47.8
